State,Year,Quarter,District,Transaction_count,Transaction_amount,Region
tamil-nadu,2019,2,Viluppuram ,277403,576610926.2303933,Southern Region
tamil-nadu,2019,2,Pudukkottai ,142843,321121330.503316,Southern Region
tamil-nadu,2019,2,Perambalur ,71612,161197712.5657695,Southern Region
tamil-nadu,2019,2,Coimbatore ,3191687,7063644440.487608,Southern Region
tamil-nadu,2019,2,Virudhunagar ,214026,465084869.3948114,Southern Region
tamil-nadu,2019,2,Dindigul ,288758,696936336.7798494,Southern Region
tamil-nadu,2019,2,Sivaganga ,152693,372992810.14221174,Southern Region
tamil-nadu,2019,2,Tenkasi ,110318,247940691.2512072,Southern Region
tamil-nadu,2019,2,Chengalpattu ,3719692,5655296088.730307,Southern Region
tamil-nadu,2019,2,Kanniyakumari ,207995,466208102.0994936,Southern Region
tamil-nadu,2019,2,Tirunelveli ,198144,472709052.2940883,Southern Region
tamil-nadu,2019,2,Thiruvallur ,2486358,4674408137.818318,Southern Region
tamil-nadu,2019,2,Theni ,141459,356493376.3471781,Southern Region
tamil-nadu,2019,2,Ranipet ,252482,511118431.896072,Southern Region
tamil-nadu,2019,2,Namakkal ,329353,809609337.9236962,Southern Region
tamil-nadu,2019,2,Vellore ,527517,961718767.3510635,Southern Region
tamil-nadu,2019,2,Thiruvarur ,93958,201988781.2533109,Southern Region
tamil-nadu,2019,3,Tiruchirappalli ,1028271,2283457398.7735853,Southern Region
tamil-nadu,2019,3,Ramanathapuram ,164056,364511483.7921167,Southern Region
tamil-nadu,2019,3,Krishnagiri ,906439,1897364248.773857,Southern Region
tamil-nadu,2019,3,Cuddalore ,429418,854430041.4558712,Southern Region
tamil-nadu,2019,3,Kancheepuram ,2374121,3749463855.838708,Southern Region
tamil-nadu,2019,3,Tiruppur ,1583318,3459384833.856631,Southern Region
tamil-nadu,2019,3,Dharmapuri ,404500,892434523.6141176,Southern Region
tamil-nadu,2019,3,Thoothukkudi ,251434,514591122.2093332,Southern Region
tamil-nadu,2019,3,Thanjavur ,499378,862709786.020551,Southern Region
tamil-nadu,2019,3,Madurai ,1004838,2163231649.618825,Southern Region
tamil-nadu,2019,3,Tiruvannamalai ,408695,788782442.4394717,Southern Region
tamil-nadu,2019,3,Salem ,1348219,3089948772.2836013,Southern Region
tamil-nadu,2019,3,Nagapattinam ,182524,374062397.5494798,Southern Region
tamil-nadu,2019,3,Tirupathur ,280191,551887987.5341959,Southern Region
tamil-nadu,2019,3,Ariyalur ,102318,210754842.565796,Southern Region
tamil-nadu,2019,3,Chennai ,11333032,23024193806.41262,Southern Region
tamil-nadu,2019,3,The Nilgiris ,172729,366416212.008214,Southern Region
tamil-nadu,2019,3,Erode ,824050,1809433458.671044,Southern Region
tamil-nadu,2019,3,Karur ,233312,527606128.129179,Southern Region
tamil-nadu,2019,3,Kallakkurichi ,214180,462594169.67592186,Southern Region
tamil-nadu,2019,3,Viluppuram ,347727,691014122.5419819,Southern Region
tamil-nadu,2019,3,Pudukkottai ,195452,403435245.8525533,Southern Region
tamil-nadu,2019,3,Perambalur ,97443,202989238.0194384,Southern Region
tamil-nadu,2019,3,Coimbatore ,4303835,9457627886.22332,Southern Region
tamil-nadu,2019,3,Virudhunagar ,286960,603050825.4211078,Southern Region
tamil-nadu,2019,3,Dindigul ,411188,865233220.4260746,Southern Region
tamil-nadu,2019,3,Sivaganga ,203568,461238657.754354,Southern Region
tamil-nadu,2019,3,Tenkasi ,149611,316677496.8906262,Southern Region
tamil-nadu,2019,3,Chengalpattu ,5765425,7255276540.840912,Southern Region
tamil-nadu,2019,3,Kanniyakumari ,293582,576372340.2691851,Southern Region
tamil-nadu,2019,3,Tirunelveli ,266559,571521395.652529,Southern Region
tamil-nadu,2019,3,Thiruvallur ,3497534,5790229760.583483,Southern Region
tamil-nadu,2019,3,Theni ,182650,415596823.8817531,Southern Region
tamil-nadu,2019,3,Ranipet ,319434,621745958.3633249,Southern Region
tamil-nadu,2019,3,Namakkal ,436893,1016896335.2618281,Southern Region
tamil-nadu,2019,3,Vellore ,776654,1201803229.538847,Southern Region
tamil-nadu,2019,3,Thiruvarur ,130645,261636404.89624792,Southern Region
tamil-nadu,2019,4,Tiruchirappalli ,1364259,2850823022.861631,Southern Region
tamil-nadu,2019,4,Ramanathapuram ,217020,466879310.9724102,Southern Region
tamil-nadu,2019,4,Krishnagiri ,1302647,2599923579.4841228,Southern Region
tamil-nadu,2019,4,Cuddalore ,554320,1069462594.6879781,Southern Region
tamil-nadu,2019,4,Kancheepuram ,3134851,4643283492.789846,Southern Region
tamil-nadu,2019,4,Tiruppur ,2020118,4339514037.303126,Southern Region
tamil-nadu,2019,4,Dharmapuri ,545240,1179249689.094372,Southern Region
tamil-nadu,2019,4,Thoothukkudi ,334748,673765706.7351946,Southern Region
tamil-nadu,2019,4,Thanjavur ,634748,1089380865.897102,Southern Region
tamil-nadu,2019,4,Madurai ,1315576,2775348044.296371,Southern Region
tamil-nadu,2019,4,Tiruvannamalai ,561787,1076989969.076159,Southern Region
tamil-nadu,2019,4,Salem ,1754893,3897469229.2628374,Southern Region
tamil-nadu,2019,4,Nagapattinam ,234840,461426174.7325589,Southern Region
tamil-nadu,2019,4,Tirupathur ,385208,757709091.2759188,Southern Region
tamil-nadu,2019,4,Ariyalur ,135252,270334848.5944755,Southern Region
tamil-nadu,2019,4,Chennai ,16437269,31810645818.30885,Southern Region
tamil-nadu,2019,4,The Nilgiris ,254745,537415179.52037,Southern Region
tamil-nadu,2019,4,Erode ,1092587,2315486948.9064217,Southern Region
tamil-nadu,2019,4,Karur ,303847,651278224.9980934,Southern Region
tamil-nadu,2019,4,Kallakkurichi ,293430,615206202.5476354,Southern Region
tamil-nadu,2019,4,Viluppuram ,478192,911152034.842142,Southern Region
tamil-nadu,2019,4,Pudukkottai ,250329,513371629.4764075,Southern Region
tamil-nadu,2019,4,Perambalur ,130104,262954158.27917007,Southern Region
tamil-nadu,2019,4,Coimbatore ,5937176,11949970482.92373,Southern Region
tamil-nadu,2019,4,Virudhunagar ,371435,780408757.3399825,Southern Region
tamil-nadu,2019,4,Dindigul ,570988,1157558219.820724,Southern Region
tamil-nadu,2019,4,Sivaganga ,293949,681274042.3255894,Southern Region
tamil-nadu,2019,4,Tenkasi ,193559,403713924.4305418,Southern Region
tamil-nadu,2019,4,Chengalpattu ,7809082,9083457170.596088,Southern Region
tamil-nadu,2019,4,Kanniyakumari ,421655,795547991.566875,Southern Region
tamil-nadu,2019,4,Tirunelveli ,360780,745395226.0570003,Southern Region
tamil-nadu,2019,4,Thiruvallur ,4441180,7308502938.397884,Southern Region
