State,Year,Quarter,District,Registered_users,App_opens,Region
tamil-nadu,2022,3,Chennai ,2635738,8736294,Southern Region
tamil-nadu,2022,3,The Nilgiris ,191664,13756972,Southern Region
tamil-nadu,2022,3,Erode ,654373,24140402,Southern Region
tamil-nadu,2022,3,Karur ,247251,25004042,Southern Region
tamil-nadu,2022,3,Kallakkurichi ,341416,20441688,Southern Region
tamil-nadu,2022,3,Viluppuram ,421487,21647789,Southern Region
tamil-nadu,2022,3,Pudukkottai ,262926,33814299,Southern Region
tamil-nadu,2022,3,Perambalur ,124952,10607700,Southern Region
tamil-nadu,2022,3,Coimbatore ,1867655,36137898,Southern Region
tamil-nadu,2022,3,Virudhunagar ,384815,25858491,Southern Region
tamil-nadu,2022,3,Dindigul ,488441,38288729,Southern Region
tamil-nadu,2022,3,Sivaganga ,267326,29111159,Southern Region
tamil-nadu,2022,3,Tenkasi ,226380,14369177,Southern Region
tamil-nadu,2022,3,Chengalpattu ,1791530,18710626,Southern Region
tamil-nadu,2022,3,Kanniyakumari ,411655,6596430,Southern Region
tamil-nadu,2022,3,Tirunelveli ,375362,18623924,Southern Region
tamil-nadu,2022,3,Thiruvallur ,2183990,29108780,Southern Region
tamil-nadu,2022,3,Theni ,272745,18586327,Southern Region
tamil-nadu,2022,3,Ranipet ,361284,13305109,Southern Region
tamil-nadu,2022,3,Namakkal ,443273,19838171,Southern Region
tamil-nadu,2022,3,Vellore ,499041,15140968,Southern Region
tamil-nadu,2022,3,Thiruvarur ,189247,12198983,Southern Region
tamil-nadu,2022,4,Tiruchirappalli ,798742,32716100,Southern Region
tamil-nadu,2022,4,Ramanathapuram ,242901,11670114,Southern Region
tamil-nadu,2022,4,Krishnagiri ,902906,74383349,Southern Region
tamil-nadu,2022,4,Cuddalore ,612577,30099576,Southern Region
tamil-nadu,2022,4,Kancheepuram ,1346845,64935793,Southern Region
tamil-nadu,2022,4,Tiruppur ,1183174,67479751,Southern Region
tamil-nadu,2022,4,Dharmapuri ,471109,34306151,Southern Region
tamil-nadu,2022,4,Thoothukkudi ,378714,16378823,Southern Region
tamil-nadu,2022,4,Thanjavur ,515959,21549397,Southern Region
tamil-nadu,2022,4,Madurai ,953739,41569996,Southern Region
tamil-nadu,2022,4,Tiruvannamalai ,567805,32921900,Southern Region
tamil-nadu,2022,4,Salem ,1052099,59100611,Southern Region
tamil-nadu,2022,4,Nagapattinam ,262020,11334862,Southern Region
tamil-nadu,2022,4,Tirupathur ,369186,26050043,Southern Region
tamil-nadu,2022,4,Ariyalur ,155220,7873071,Southern Region
tamil-nadu,2022,4,Chennai ,2763151,90750262,Southern Region
tamil-nadu,2022,4,The Nilgiris ,199839,10222030,Southern Region
tamil-nadu,2022,4,Erode ,684126,31641358,Southern Region
tamil-nadu,2022,4,Karur ,258049,13154773,Southern Region
tamil-nadu,2022,4,Kallakkurichi ,356553,20960049,Southern Region
tamil-nadu,2022,4,Viluppuram ,440319,23825795,Southern Region
tamil-nadu,2022,4,Pudukkottai ,273282,13993977,Southern Region
tamil-nadu,2022,4,Perambalur ,130138,6400251,Southern Region
tamil-nadu,2022,4,Coimbatore ,1955681,95539371,Southern Region
tamil-nadu,2022,4,Virudhunagar ,402140,18560145,Southern Region
tamil-nadu,2022,4,Dindigul ,510056,29599663,Southern Region
tamil-nadu,2022,4,Sivaganga ,278300,14398648,Southern Region
tamil-nadu,2022,4,Tenkasi ,236123,11229723,Southern Region
tamil-nadu,2022,4,Chengalpattu ,1876163,79404956,Southern Region
tamil-nadu,2022,4,Kanniyakumari ,430646,16181824,Southern Region
tamil-nadu,2022,4,Tirunelveli ,391902,17863624,Southern Region
tamil-nadu,2022,4,Thiruvallur ,2290089,105152328,Southern Region
tamil-nadu,2022,4,Theni ,285305,15287848,Southern Region
tamil-nadu,2022,4,Ranipet ,378016,22294780,Southern Region
tamil-nadu,2022,4,Namakkal ,463431,23754417,Southern Region
tamil-nadu,2022,4,Vellore ,522921,28350601,Southern Region
tamil-nadu,2022,4,Thiruvarur ,196886,8251663,Southern Region
tamil-nadu,2019,1,Tiruchirappalli ,193798,0,Southern Region
tamil-nadu,2019,1,Ramanathapuram ,49864,0,Southern Region
tamil-nadu,2019,1,Krishnagiri ,212859,0,Southern Region
tamil-nadu,2019,1,Cuddalore ,138966,0,Southern Region
tamil-nadu,2019,1,Kancheepuram ,385091,0,Southern Region
tamil-nadu,2019,1,Tiruppur ,273869,0,Southern Region
tamil-nadu,2019,1,Dharmapuri ,111273,0,Southern Region
tamil-nadu,2019,1,Thoothukkudi ,82778,0,Southern Region
tamil-nadu,2019,1,Thanjavur ,113549,0,Southern Region
tamil-nadu,2019,1,Madurai ,224783,0,Southern Region
tamil-nadu,2019,1,Tiruvannamalai ,129411,0,Southern Region
tamil-nadu,2019,1,Salem ,257624,0,Southern Region
tamil-nadu,2019,1,Nagapattinam ,54318,0,Southern Region
tamil-nadu,2019,1,Tirupathur ,81010,0,Southern Region
tamil-nadu,2019,1,Ariyalur ,32852,0,Southern Region
tamil-nadu,2019,1,Chennai ,830586,0,Southern Region
tamil-nadu,2019,1,The Nilgiris ,41312,0,Southern Region
tamil-nadu,2019,1,Erode ,157469,0,Southern Region
tamil-nadu,2019,1,Karur ,58673,0,Southern Region
tamil-nadu,2019,1,Kallakkurichi ,73253,0,Southern Region
tamil-nadu,2019,1,Viluppuram ,100564,0,Southern Region
tamil-nadu,2019,1,Pudukkottai ,55252,0,Southern Region
tamil-nadu,2019,1,Perambalur ,27434,0,Southern Region
tamil-nadu,2019,1,Coimbatore ,495350,0,Southern Region
tamil-nadu,2019,1,Virudhunagar ,87060,0,Southern Region
tamil-nadu,2019,1,Dindigul ,109937,0,Southern Region
tamil-nadu,2019,1,Sivaganga ,57822,0,Southern Region
tamil-nadu,2019,1,Tenkasi ,50065,0,Southern Region
tamil-nadu,2019,1,Chengalpattu ,578045,0,Southern Region
tamil-nadu,2019,1,Kanniyakumari ,87667,0,Southern Region
tamil-nadu,2019,1,Tirunelveli ,85506,0,Southern Region
tamil-nadu,2019,1,Thiruvallur ,625908,0,Southern Region
tamil-nadu,2019,1,Theni ,60522,0,Southern Region
tamil-nadu,2019,1,Ranipet ,93392,0,Southern Region
tamil-nadu,2019,1,Namakkal ,112549,0,Southern Region
tamil-nadu,2019,1,Vellore ,126690,0,Southern Region
tamil-nadu,2019,1,Thiruvarur ,39202,0,Southern Region
tamil-nadu,2019,2,Tiruchirappalli ,229886,888105,Southern Region
tamil-nadu,2019,2,Ramanathapuram ,60663,222299,Southern Region
tamil-nadu,2019,2,Krishnagiri ,252986,1223317,Southern Region
tamil-nadu,2019,2,Cuddalore ,165183,567420,Southern Region
tamil-nadu,2019,2,Kancheepuram ,447527,2383830,Southern Region
tamil-nadu,2019,2,Tiruppur ,324350,1411179,Southern Region
tamil-nadu,2019,2,Dharmapuri ,131769,588276,Southern Region
tamil-nadu,2019,2,Thoothukkudi ,99080,336066,Southern Region
tamil-nadu,2019,2,Thanjavur ,136597,477643,Southern Region
tamil-nadu,2019,2,Madurai ,268420,1069867,Southern Region
tamil-nadu,2019,2,Tiruvannamalai ,154806,594681,Southern Region
tamil-nadu,2019,2,Salem ,302033,1121130,Southern Region
tamil-nadu,2019,2,Nagapattinam ,65797,235307,Southern Region
tamil-nadu,2019,2,Tirupathur ,96362,392426,Southern Region
tamil-nadu,2019,2,Ariyalur ,39587,147113,Southern Region
tamil-nadu,2019,2,Chennai ,969955,5191213,Southern Region
tamil-nadu,2019,2,The Nilgiris ,50589,237651,Southern Region
tamil-nadu,2019,2,Erode ,185565,634853,Southern Region
tamil-nadu,2019,2,Karur ,69047,236338,Southern Region
tamil-nadu,2019,2,Kallakkurichi ,88699,312180,Southern Region
tamil-nadu,2019,2,Viluppuram ,119969,483368,Southern Region
tamil-nadu,2019,2,Pudukkottai ,66892,245413,Southern Region
